Caso,n,m,Seed
MDG-a_10_n500_m50,500,50,13
MDG-a_1_n500_m50,500,50,19
MDG-a_2_n500_m50,500,50,25
MDG-a_3_n500_m50,500,50,31
MDG-a_4_n500_m50,500,50,37
MDG-a_5_n500_m50,500,50,43
MDG-a_6_n500_m50,500,50,49
MDG-a_7_n500_m50,500,50,55
MDG-a_8_n500_m50,500,50,61
MDG-a_9_n500_m50,500,50,67
MDG-b_21_n2000_m200,2000,200,73
MDG-b_22_n2000_m200,2000,200,79
MDG-b_23_n2000_m200,2000,200,85
MDG-b_24_n2000_m200,2000,200,91
MDG-b_25_n2000_m200,2000,200,97
MDG-b_26_n2000_m200,2000,200,103
MDG-b_27_n2000_m200,2000,200,109
MDG-b_28_n2000_m200,2000,200,115
MDG-b_29_n2000_m200,2000,200,121
MDG-b_30_n2000_m200,2000,200,127
MDG-c_10_n3000_m400,3000,400,133
MDG-c_13_n3000_m500,3000,500,139
MDG-c_14_n3000_m500,3000,500,145
MDG-c_15_n3000_m500,3000,500,151
MDG-c_19_n3000_m600,3000,600,157
MDG-c_1_n3000_m300,3000,300,163
MDG-c_20_n3000_m600,3000,600,169
MDG-c_2_n3000_m300,3000,300,175
MDG-c_8_n3000_m400,3000,400,181
MDG-c_9_n3000_m400,3000,400,187
